,timestamp,latitude,longitude,weekday,time_of_day
170,1539445227.0,52.1987466,21.0043214,5,940
171,1539445126.0,52.1987587,21.0044453,5,938
172,1539445126.0,52.1987587,21.0044453,5,938
173,1539444649.0,52.1987587,21.0044453,5,930
174,1539444584.0,52.1987627,21.0044246,5,929
175,1539444504.0,52.1987627,21.0044246,5,928
176,1539444385.0,52.1987627,21.0044246,5,926
177,1539444284.0,52.1987627,21.0044217,5,924
178,1539444189.0,52.1987627,21.0044217,5,923
179,1539444063.0,52.1987627,21.0044217,5,921
180,1539443983.0,52.1987588,21.0044455,5,919
181,1539443923.0,52.1987588,21.0044455,5,918
182,1539443849.0,52.1987588,21.0044455,5,917
183,1539443673.0,52.1987588,21.0044455,5,914
184,1539443632.0,52.1987474,21.0044589,5,913
185,1539443427.0,52.1987474,21.0044589,5,910
186,1539443354.0,52.1987569,21.0044459,5,909
187,1539443294.0,52.1987569,21.0044459,5,908
188,1539443169.0,52.1987569,21.0044459,5,906
189,1539443032.0,52.1987503,21.0044798,5,903
190,1539442812.0,52.1987503,21.0044798,5,900
191,1539442732.0,52.1987549,21.004484,5,898
192,1539442663.0,52.1987549,21.004484,5,897
193,1539442431.0,52.1987549,21.004484,5,893
194,1539442393.0,52.1987567,21.004447,5,893
195,1539442227.0,52.1987567,21.004447,5,890
196,1539442131.0,52.1987536,21.0044636,5,888
197,1539441831.0,52.1987574,21.004422,5,883
198,1539441687.0,52.1987574,21.004422,5,881
199,1539441584.0,52.1987574,21.004422,5,879
200,1539441492.0,52.1987547,21.0044656,5,878
201,1539441418.0,52.1987547,21.0044656,5,876
202,1539441309.0,52.1987547,21.0044656,5,875
203,1539441205.0,52.1987588,21.0044455,5,873
204,1539441034.0,52.1987588,21.0044455,5,870
205,1539440973.0,52.1987588,21.0044455,5,869
206,1539440973.0,52.1987588,21.0044455,5,869
207,1539440901.0,52.1987553,21.0044448,5,868
208,1539440813.0,52.1987553,21.0044448,5,866
209,1539440782.0,52.1987608,21.0042903,5,866
210,1539440778.0,52.1987608,21.0042903,5,866
211,1539440728.0,52.1987326,21.0045241,5,865
212,1539440591.0,52.1987326,21.0045241,5,863
213,1539440499.0,52.1987475,21.0042803,5,861
214,1539440438.0,52.1987475,21.0042803,5,860
215,1539440360.0,52.1987475,21.0042803,5,859
216,1539440189.0,52.1987529,21.004278,5,856
217,1539440106.0,52.1987529,21.004278,5,855
218,1539440046.0,52.1987529,21.004278,5,854
219,1539439975.0,52.1987529,21.004278,5,852
220,1539439889.0,52.1987529,21.004278,5,851
221,1539439858.0,52.1987398,21.0044065,5,850
222,1539439754.0,52.1987398,21.0044065,5,849
223,1539439690.0,52.1987398,21.0044065,5,848
224,1539439568.0,52.1987398,21.0044065,5,846
225,1539439564.0,52.1987328,21.0040912,5,846
226,1539439564.0,52.1987328,21.0040912,5,846
227,1539436487.0,52.1987574,21.0042913,5,794
228,1539436432.0,52.1987574,21.0042913,5,793
229,1539436367.0,52.1987574,21.0042913,5,792
230,1539436236.0,52.1987515,21.0042866,5,790
231,1539436076.0,52.1987515,21.0042866,5,787
232,1539435935.0,52.1987528,21.0043111,5,785
233,1539435785.0,52.1987528,21.0043111,5,783
234,1539435634.0,52.198749,21.0043283,5,780
235,1539435554.0,52.198749,21.0043283,5,779
